date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:03:24	67421/67421	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202025%2005:03:24%20GMT	https://ghcampusmarket.com/category/vehicle-cycles	/home/zero/ghcampus_clone/ghcampusmarket.com/category/vehicle-cycles.html	(from https://ghcampusmarket.com/)
05:03:24	11188/11188	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jan%202023%2003:42:37%20GMT	https://ghcampusmarket.com/images/categories/vehicle--cycles_2301170342375883.png	/home/zero/ghcampus_clone/ghcampusmarket.com/images/categories/vehicle--cycles_2301170342375883.png	(from https://ghcampusmarket.com/)
05:03:26	79618/79618	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202025%2005:03:26%20GMT	https://ghcampusmarket.com/category/art-sports-hobbies	/home/zero/ghcampus_clone/ghcampusmarket.com/category/art-sports-hobbies.html	(from https://ghcampusmarket.com/)
05:03:27	8077/8077	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jan%202023%2003:43:02%20GMT	https://ghcampusmarket.com/images/categories/art-sports--hobbies_2301170343028024.png	/home/zero/ghcampus_clone/ghcampusmarket.com/images/categories/art-sports--hobbies_2301170343028024.png	(from https://ghcampusmarket.com/)
05:03:28	76350/76350	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202025%2005:03:27%20GMT	https://ghcampusmarket.com/category/jobs-services	/home/zero/ghcampus_clone/ghcampusmarket.com/category/jobs-services.html	(from https://ghcampusmarket.com/)
05:03:28	7473/7473	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jan%202023%2003:44:23%20GMT	https://ghcampusmarket.com/images/categories/jobs--services_2301170344233571.png	/home/zero/ghcampus_clone/ghcampusmarket.com/images/categories/jobs--services_2301170344233571.png	(from https://ghcampusmarket.com/)
05:03:30	64357/64357	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202025%2005:03:29%20GMT	https://ghcampusmarket.com/category/events	/home/zero/ghcampus_clone/ghcampusmarket.com/category/events.html	(from https://ghcampusmarket.com/)
05:03:30	6135/6135	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jan%202023%2003:44:59%20GMT	https://ghcampusmarket.com/images/categories/events_2301170344598473.png	/home/zero/ghcampus_clone/ghcampusmarket.com/images/categories/events_2301170344598473.png	(from https://ghcampusmarket.com/)
05:03:32	61806/61806	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202025%2005:03:32%20GMT	https://ghcampusmarket.com/product/normal-shirt	/home/zero/ghcampus_clone/ghcampusmarket.com/product/normal-shirt.html	(from https://ghcampusmarket.com/)
05:03:34	200146/200146	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Apr%202025%2013:29:32%20GMT	https://ghcampusmarket.com/images/products/normal-shirt_2504170129324932.JPG	/home/zero/ghcampus_clone/ghcampusmarket.com/images/products/normal-shirt_2504170129324932.jpg	(from https://ghcampusmarket.com/)
